"station","age","depth","sample_weight","tag","sample_id","kingdom","Interest","repl.pa","sum.reads","norm.reads"
"EMB262_12_2_MUC",2001,4,692,"EMB262_12_2_MUC_4","PA219E","Eukaryota","Diatom",2,0.5,0.361271676300578
"EMB262_12_2_MUC",2001,4,692,"EMB262_12_2_MUC_4","PA219E","Eukaryota","Dinoflagellata",393,49731.25,35932.9841040462
"EMB262_12_2_MUC",2006,3,681,"EMB262_12_2_MUC_3","PA086E","Eukaryota","Diatom",11,7,5.13950073421439
"EMB262_12_2_MUC",2006,3,681,"EMB262_12_2_MUC_3","PA086E","Eukaryota","Dinoflagellata",539,39991.75,29362.5183553598
"EMB262_12_2_MUC",2011,2,605,"EMB262_12_2_MUC_2","PA264E","Eukaryota","Diatom",4,5,4.13223140495868
"EMB262_12_2_MUC",2011,2,605,"EMB262_12_2_MUC_2","PA264E","Eukaryota","Dinoflagellata",182,10917.5,9022.72727272727
"EMB262_13_8_MUC",1931,54,633,"EMB262_13_8_MUC_1","PA175E","Eukaryota","Diatom",119,14212.75,11226.5007898894
"EMB262_13_8_MUC",1931,54,633,"EMB262_13_8_MUC_1","PA175E","Eukaryota","Dinoflagellata",278,9689.5,7653.63349131122
"EMB262_13_8_MUC",1935,52,613,"EMB262_13_8_MUC_2","PA177E","Eukaryota","Diatom",112,17792.75,14512.8466557912
"EMB262_13_8_MUC",1935,52,613,"EMB262_13_8_MUC_2","PA177E","Eukaryota","Dinoflagellata",379,15544.75,12679.2414355628
"EMB262_13_8_MUC",1938,50,623,"EMB262_13_8_MUC_3","PA157E","Eukaryota","Diatom",100,31905,25605.9390048154
"EMB262_13_8_MUC",1938,50,623,"EMB262_13_8_MUC_3","PA157E","Eukaryota","Dinoflagellata",625,38471,30875.6019261637
"EMB262_13_8_MUC",1942,48,534,"EMB262_13_8_MUC_4","PA152E","Eukaryota","Diatom",128,19539.5,18295.4119850187
"EMB262_13_8_MUC",1942,48,534,"EMB262_13_8_MUC_4","PA152E","Eukaryota","Dinoflagellata",465,19245.75,18020.3651685393
"EMB262_13_8_MUC",1946,46,406,"EMB262_13_8_MUC_5","PA163E","Eukaryota","Diatom",68,20621.25,25395.6280788177
"EMB262_13_8_MUC",1946,46,406,"EMB262_13_8_MUC_5","PA163E","Eukaryota","Dinoflagellata",178,6343.25,7811.8842364532
"EMB262_13_8_MUC",1950,44,774,"EMB262_13_8_MUC_6","PA174E","Eukaryota","Diatom",92,12564.5,8116.60206718346
"EMB262_13_8_MUC",1950,44,774,"EMB262_13_8_MUC_6","PA174E","Eukaryota","Dinoflagellata",318,8670.75,5601.25968992248
"EMB262_13_8_MUC",1953,42,581,"EMB262_13_8_MUC_7","PA179E","Eukaryota","Diatom",8,784.25,674.913941480207
"EMB262_13_8_MUC",1953,42,581,"EMB262_13_8_MUC_7","PA179E","Eukaryota","Dinoflagellata",26,5647.25,4859.93975903615
